1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
145,Etouch Mobile Pvt. Ltd.,Full Stack Developer - React.js/Node.js (4-9 yrs) Chennai (Backend Developer),Entry level,5,5,Telecommunications, Engineering Information Technology ,Java Node.js AngularJS CSS JavaScript AngularJS React,,,,,,,,,,,,,,,,,,,,
146,AArete,Senior .Net Full Stack Developer,Mid-Senior level,7,9,Management Consulting, Information Technology ,C C# HTML5 ReactJS AngularJS ASP.NET SQL JavaScript AngularJS,,,,,,,,,,,,,,,,,,,,
147,Lepton Software,Full Stack Engineer,Mid-Senior level,610,4,Information Technology & Services, Engineering Information Technology ,PostgreSQL C ReactJS SQL Angular NodeJS,,,,,,,,,,,,,,,,,,,,
148,Aspire Technology Solutions,Full Stack Developer - Java/Spring/MongoDB (2-5 yrs) Pune (Backend Developer),Entry level,3,NA,Information Technology & Services, Engineering Information Technology ,C Java Python CSS Spring SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
149,Testpress.in,Django Developer,75 applicants,,NA,E-learning, Engineering Information Technology ,C Python CSS,,,,,,,,,,,,,,,,,,,,
150,SquareRoot Consulting (Pty) Ltd,Tech Lead - Full Stack Development - Java/Javascript (9-14 yrs) Bangalore (Backend Developer),Associate,8,1,Information Technology & Services, Engineering Information Technology ,C Java Node.js Spring JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
151,Thoucentric,Cloud/Platform Engineer,Entry level,2,3,Management Consulting, Engineering Information Technology ,C Java Python SQL Angular NodeJS,,,,,,,,,,,,,,,,,,,,
152,Bay-Forge Limited,Senior Software Engineer - Java/Python/Ruby Programming (4-10 yrs) Bangalore (Backend Developer),Associate,,NA,Mechanical Or Industrial Engineering, Engineering Information Technology ,C Java Python JavaScript Ruby Angular React,,,,,,,,,,,,,,,,,,,,
153,SecurityAdvisor,Software Architect,56 applicants,8,2,Computer & Network Security, Engineering Information Technology ,C Python SQL,,,,,,,,,,,,,,,,,,,,
154,Profoundly & NearGroup,NearGroup - Full Stack Developer - WebRTC/Socket Programming (3-6 yrs) Delhi NCR (DevOps),Entry level,,NA,Internet, Engineering Information Technology ,C Python,,,,,,,,,,,,,,,,,,,,
155,GreenChain Software || Oracle Applications Consulting ||,Full Stack dot net Developer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C HTML5 Hibernate Angular,,,,,,,,,,,,,,,,,,,,
156,Resemble Systems,SharePoint Developer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C C# Node.js ASP.NET CSS SQL JavaScript,,,,,,,,,,,,,,,,,,,,
157,AutoRABIT,AutoRABIT Software - Senior Full Stack Java Developer - J2EE/Spring (8-15 yrs) Hyderabad,Associate,2,NA,Computer Software, Engineering Information Technology ,Oracle C Java Node.js AngularJS Spring Hibernate SQL JavaScript AngularJS Angular,,,,,,,,,,,,,,,,,,,,
158,Futops Technologies India Private Limited,Full Stack Engineer,63 applicants,1,3,Computer Software, Engineering ,Python HTML5 JavaScript React CSS3,,,,,,,,,,,,,,,,,,,,
159,Sampada Group,Full Stack Developer - Web App Development (2-4 yrs) Vadodara/Baroda (Backend Developer),Entry level,2,5,Real Estate, Engineering Information Technology ,HTML5 ReactJS AngularJS SQL JavaScript AngularJS CSS3 NodeJS,,,,,,,,,,,,,,,,,,,,
160,coMakeIT,Full Stack Developer - Java (4-10 yrs) Hyderabad,Associate,2,4,Computer Software, Engineering Information Technology ,Oracle C Java Spring SQL Angular,,,,,,,,,,,,,,,,,,,,
161,Part Analytics,Technology Lead,38 applicants,,NA,Information Technology & Services, Engineering Information Technology ,AngularJS JavaScript AngularJS,,,,,,,,,,,,,,,,,,,,
162,HireTale,Full Stack Developer - Web & Application Development (2-7 yrs) Delhi (Backend Developer),Entry level,18,NA,Human Resources, Engineering Information Technology ,Node.js Angular,,,,,,,,,,,,,,,,,,,,
163,BOLD,Software Engineer/Sr. Software Engineer- Full Stack,Associate,3,NA,Internet, Engineering Information Technology ,C Java HTML5 CSS JavaScript Angular React CSS3,,,,,,,,,,,,,,,,,,,,
164,BNP Paribas,Senior Software Engineer,Associate,5,7,Banking, Engineering Information Technology ,C Java SQL,,,,,,,,,,,,,,,,,,,,
165,CpCareers Private Limited,Java Full-Stack Developers Noida,Entry level,,NA,Human Resources, Engineering Information Technology ,Java Python Angular,,,,,,,,,,,,,,,,,,,,
166,NON STOP COURIER AND CARGO PVT LIMITED,React JS And Node JS Developer,Entry level,1,2,Package/Freight Delivery, Engineering Information Technology ,JavaScript React,,,,,,,,,,,,,,,,,,,,
167,Mad Street Den,Front-end engineer / Full stack developer,Associate,2,NA,Computer Software, Engineering Information Technology Consulting ,HTML5 ReactJS AngularJS CSS JavaScript AngularJS CSS3,,,,,,,,,,,,,,,,,,,,
168,Standard Chartered GBS,Fullstack Developer with Exilir /Phoenix,Associate,6,NA,NA, Information Technology Finance Design ,,,,,,,,,,,,,,,,,,,,,
169,Kenyt.AI,Kenyt - Full Stack Senior Software Developer (2-7 yrs) Hyderabad (Backend Developer),Associate,24,7,Computer Software, Engineering Information Technology ,C NA,,,,,,,,,,,,,,,,,,,,
170,FourQ Systems,Full Stack Engineer,102 applicants,,NA,Information Technology & Services, Engineering Information Technology ,Oracle C Java Spring Angular,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,PostgreSQL,C,Spark,C#,Java,Python,Node.js,HTML5,ReactJS,AngularJS,NA,ASP.NET,C++,Golang,C/C++,CSS,Spring,Hibernate,SQL,JavaScript,Ruby,AngularJS,Angular,React,CSS3,Scala,NodeJS,PHP
17,11,,8,24,88,48,46,26,25,32,6,16,5,8,1,67,44,20,116,115,9,32,89,70,17,5,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SQL,JavaScript,Angular,,,,,,,,,,,,,,,,,,,,
,,,,,,116,115,89,,,,,,,,,,,,,,,,,,,,
