S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,Java,JavaScript,React,HTML5,CSS,CSS3,NodeJS,Golang,SQL,Hibernate,Scala,Ruby
107,Talent Corner HR Services Pvt Ltd,Front End Developer,Entry level,2,3,Management Consulting, Engineering Information Technology ,C CSS JavaScript Angular PHP,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,HashedIn,Senior React Developer,71 applicants,,NA,Information Technology & Services, Information Technology ,C Java CSS Spring React,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109,AMD,Verification Engineer - 78949,Mid-Senior level,3,NA,Semiconductors, Quality Assurance ,C NA C++ C/C++,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
110,ContactWise,Full Stack Developer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C C# Node.js ASP.NET JavaScript Angular React,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,Fivetran,Principal Software Engineer,21 applicants,3,NA,Computer Software, Engineering Information Technology ,Java React,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
112,Photon,React Developer,84 applicants,4,NA,Information Technology & Services, Information Technology ,C JavaScript React,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113,Allstate India,Lead Consultant,3 applicants,6,8,Information Technology & Services, Consulting Information Technology Sales ,C Java Python ReactJS Spring Hibernate JavaScript React NodeJS,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
114,Cerner Corporation,Senior Software Engineer,Associate,4,4,Information Technology & Services, Engineering Information Technology ,C Ruby,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
115,Crossover for Work,"Software Engineer (Remote) - $60,000/year USD",461 applicants,100,8,Information Technology & Services, Business Development Engineering Information Technology ,C Java C++ SQL JavaScript,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
116,Confidential (In stealth mode),Frontend Engineer,248 applicants,,NA,Accounting, Engineering Information Technology ,C React,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
117,DailyRounds / Marrow,"Front-End Web Developer (SDE II, SDE III) @ High Growth Healthcare Startup",724 applicants,2,5,"Health, Wellness & Fitness", Engineering Information Technology ,C HTML5 JavaScript React CSS3,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
118,JPMorgan Chase & Co.,Software Engineering,Entry level,,NA,Financial Services, Engineering Information Technology ,Oracle C Java Spring Hibernate SQL,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
119,Loyalty Juggernaut,Product Engineer - UI / Angular,Entry level,2,4,Computer Software, Engineering Information Technology ,C HTML5 AngularJS CSS SQL JavaScript AngularJS,,,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
120,People Interactive,iOS Developer,222 applicants,2,3,Internet, Engineering Information Technology ,C,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
121,William Penn (P) Ltd,Technical Lead,Mid-Senior level,8,5,Retail, Engineering Project Management Information Technology ,Java Python CSS PHP,,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122,oneDPO,Full Stack Engineer,158 applicants,3,NA,Information Technology & Services, Engineering Information Technology ,Node.js CSS JavaScript React NodeJS,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
123,EagleOwl,Frontend  Engineer - React,Entry level,10,NA,Food & Beverages, Engineering Information Technology ,React,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124,"Tavisca, A cxLoyalty company",UI / Frontend Developer,40 applicants,10,4,Information Technology & Services, Information Technology Product Management Engineering ,C Java HTML5 ASP.NET Angular CSS3,,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125,Houndstooth Strategic Communications,Frontend Developer,87 applicants,2,3,Design, Engineering Design Other ,C HTML5 CSS JavaScript Angular React CSS3 NodeJS PHP,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
126,ZopSmart,Software Engineer / Senior Software Engineer,Associate,,NA,Computer Software, Engineering Information Technology ,PostgreSQL C Java Python Golang SQL PHP,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
127,Lemon Design Pvt. Ltd.,UI / UX Developer,385 applicants,2,NA,Design, Engineering Information Technology ,C HTML5 CSS SQL JavaScript Angular PHP,,,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
128,Evertz,Full Stack Engineer,250 applicants,,NA,Broadcast Media, Engineering Information Technology Product Management ,Java Spring JavaScript Angular,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
129,Increasingly,Frontend Developer JavaScript,Entry level,5,6,Computer Software, Engineering Information Technology ,C CSS JavaScript Angular React NodeJS,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
130,wayForward (PsyInnovations India),Software Engineer (Full Stack),532 applicants,2,NA,Mental Health Care, Engineering Information Technology ,C SQL JavaScript NodeJS,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
131,Trillbit,Full - Stack Developer,Entry level,4,8,Information Technology & Services, Engineering Information Technology ,C C# Java Python Node.js Golang CSS Spring SQL JavaScript Ruby Angular React Scala,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,42,85,60,31,67,14,16,5,43,8,3,12
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,JavaScript,React,CSS,,,,,,,,,
,,,,,,,,,,,,85,60,31,,,,,,,,,
